City_ID,city,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,santa maria,BR,284.09,clear sky,-29.6842,-53.8069,Hotel Morotin
276,kazachinskoye,RU,284.2,few clouds,57.6953,93.2761,"Gostinitsa ""Tk Telemaks"""
279,port elizabeth,ZA,283.2,clear sky,-33.918,25.5701,39 On Nile Guest House
280,ostrovnoy,RU,284.16,broken clouds,68.0531,39.5131,
287,thohoyandou,ZA,287.96,few clouds,-22.9456,30.485,Masili Guesthouse & Conference
292,gornopravdinsk,RU,286.48,light rain,60.05,69.9,Burovik
295,kibre mengist,ET,288.7,overcast clouds,5.8833,38.9833,Gunbuur Motel
298,clarence town,AU,288.12,broken clouds,-32.5833,151.7833,River Downs Cottage
299,aksarka,RU,285.23,overcast clouds,66.5606,67.7975,
318,serenje,ZM,284.75,clear sky,-13.2325,30.2352,The Kabaso's
322,skegness,GB,289.31,overcast clouds,53.1436,0.3363,The Royal Hotel
324,margate,GB,289.84,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
343,vannes,FR,289.97,overcast clouds,47.8333,-2.5,Le Bolloch Françoise
350,nadym,RU,285.87,broken clouds,65.5333,72.5167,Apartment on Zvereva
351,la rioja,ES,289.29,scattered clouds,42.25,-2.5,Casa Concejos
355,sistranda,NO,284.76,scattered clouds,63.7256,8.834,Hotell Frøya
357,kiama,AU,288.29,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
358,mumbwa,ZM,287.52,clear sky,-14.9783,27.0619,Mumbwa Motel
362,bukachacha,RU,288.21,overcast clouds,52.9833,116.9167,
366,vuktyl,RU,286.16,scattered clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
368,lyngseidet,NO,281.2,overcast clouds,69.5763,20.2189,Magic Mountain Lodge
370,pareora,NZ,282.14,overcast clouds,-44.4871,171.2132,
389,boguchany,RU,285.56,few clouds,58.3814,97.4531,Uyut
399,geraldton,AU,280.38,clear sky,-28.7667,114.6,Broadwater Mariner Resort
404,port hedland,AU,284.18,few clouds,-20.3167,118.5667,The Esplanade Hotel
412,narsaq,GL,285.27,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
423,megion,RU,287.16,overcast clouds,61.0296,76.1136,Komfort Hotel
434,yate,GB,288.28,overcast clouds,51.5407,-2.4184,The Moda House
439,flinders,AU,288.18,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
442,maniitsoq,GL,281.5,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
445,sillamae,EE,288.1,overcast clouds,59.3997,27.7547,Hotel Krunk
451,airai,TL,286.19,broken clouds,-8.9266,125.4092,Juvinal Martin
452,ulagan,RU,283.44,clear sky,50.6321,87.9563,Gostevoy Dom
456,kastamonu,TR,288.67,clear sky,41.5,33.6667,
459,stromness,GB,282.29,few clouds,58.965,-3.296,The Old Smokery
463,rawson,AR,288.64,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
469,werda,BW,286.0,clear sky,-25.2667,23.2833,
471,leshukonskoye,RU,285.57,broken clouds,64.8989,45.7622,Pryalitsa Hostel
472,mocuba,MZ,287.05,clear sky,-16.8392,36.9856,Phama Lodge
473,borger,NL,286.94,clear sky,52.9233,6.7931,Roompot Bospark Lunsbergen
479,okhotsk,RU,287.88,overcast clouds,59.3833,143.3,
484,tokur,RU,281.56,overcast clouds,53.1333,132.9,
491,vila,PT,287.45,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
494,kwinana,AU,284.34,overcast clouds,-32.25,115.7667,Rockingham Apartments
497,charlottetown,CA,289.44,light intensity shower rain,46.2352,-63.1267,Rodd Charlottetown
499,uyemskiy,RU,288.18,scattered clouds,64.4743,40.8524,Turkompleks Malyye Karely
501,shumskiy,RU,284.13,overcast clouds,54.8318,99.1328,
503,port augusta,AU,281.88,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
505,ahipara,NZ,285.68,few clouds,-35.1667,173.1667,Ahipara Holiday Park
509,lianran,CN,288.93,clear sky,24.9227,102.485,半岛酒店
513,dalvik,IS,285.92,overcast clouds,65.9702,-18.5286,Dalvík HI Hostel
528,belfast,GB,287.48,overcast clouds,54.5833,-5.9333,Wellington Park Hotel
535,skjervoy,NO,281.95,broken clouds,70.0311,20.9714,Skjervøy Byggeservice AS
537,qaqortoq,GL,285.43,light rain,60.7167,-46.0333,Hotel Qaqortoq
542,vilcun,CL,285.56,scattered clouds,-38.65,-72.2333,"Rayen-Co, Rural Tourism"
557,xining,CN,287.23,overcast clouds,36.6167,101.7667,Super Leisure Hotel
564,cascavel,BR,284.34,clear sky,-24.9558,-53.4553,Grand Prix Hotel
565,svetlogorsk,BY,287.46,scattered clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
567,san vicente,AR,283.51,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
572,lazarev,RU,286.22,light rain,52.225,141.5131,
577,tarata,BO,289.86,clear sky,-17.6167,-66.0167,Alojamiento IV Centenario
581,arica,CL,289.28,broken clouds,-18.475,-70.3042,Hostal Jardin Del Sol
584,burgeo,CA,288.8,overcast clouds,47.6167,-57.6152,Gillett's Motel
586,muravlenko,RU,288.68,overcast clouds,63.7898,74.523,Hostel Rus Muravlenko
592,raudeberg,NO,284.19,few clouds,61.9875,5.1352,Nordre Silda.
593,moron,AR,286.51,clear sky,-34.6534,-58.6198,Hotel Morón
594,ust-maya,RU,288.5,light rain,60.4167,134.5333,
596,port lincoln,AU,284.06,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
597,katwijk,NL,287.58,broken clouds,52.1942,4.4222,B&B 'De Bedstee'
600,luwingu,ZM,286.18,clear sky,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
604,vestmannaeyjar,IS,284.94,overcast clouds,63.4427,-20.2734,Glamping & Camping
606,klaksvik,FO,283.66,overcast clouds,62.2266,-6.589,Airbnb rooms
610,talcahuano,CL,287.97,clear sky,-36.7167,-73.1167,departamento comodo
613,ust-nera,RU,286.63,clear sky,64.5667,143.2,Hotel Ust-Nera
619,stokmarknes,NO,282.31,overcast clouds,68.5646,14.9108,Vesterålen Kysthotell
624,skibbereen,IE,286.04,overcast clouds,51.55,-9.2667,The West Cork Hotel
629,tandil,AR,281.13,clear sky,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
630,taltal,CL,288.72,few clouds,-25.4,-70.4833,Residencial Karime
631,bantry,IE,285.86,overcast clouds,51.6833,-9.45,The Maritime Hotel
